,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
iron,1.1325,3.7449999999999997,5.7425,A,나쁨,5.592500000000001,390.25,2.135,445,0.27749999999999997,7.357500000000001,5.7675,4.5425,1.975,1.28,A,A-,A,39%,44%,16.975,1.27
bronze,1.0354186413902056,3.391548183254345,5.035260663507109,B+,나쁨,4.789668246445497,366.9304897314376,0.5648341232227486,18,-0.0006003159557661926,5.903127962085309,7.284707740916272,5.88649289099526,1.5618325434439178,1.5389415481832542,A+,B,A+,37%,44%,25.478925750394943,1.8995102685624015
silver,1.04268115942029,3.46304347826087,5.030205314009662,B-,좋음,5.080591787439613,375.19685990338166,0.4518840579710146,33,0.0207487922705314,5.905024154589372,7.344855072463768,5.762149758454107,1.5033937198067633,1.4514734299516907,B+,B-,A+,38%,45%,25.771099033816427,2.314009661835749
gold,1.0624125,3.758175,5.204037500000001,B,좋음,5.31525,386.4375,2.0408875,127,0.07984999999999999,6.023524999999999,7.7262125,5.600762499999999,1.427475,1.2512,A+,B-,A+,40%,47%,28.515549999999998,2.9345625
platinum,1.0734207389749701,3.856388557806913,5.214755661501788,B,좋음,5.594851013110846,394.28486293206197,1.8536352800953515,154,0.08581644815256258,6.0442789034564965,7.496138259833135,5.304445768772347,1.3192610250297976,1.0958998808104887,A+,B+,A+,42%,49%,27.5915494636472,2.993241954707986
diamond,1.08363136176066,4.209023383768914,5.2395460797799185,B+,좋음,5.559215955983494,392.5818431911967,2.046038514442916,174,0.08656121045392022,5.542475928473178,7.751389270976617,4.83939477303989,1.0696698762035766,0.8896698762035763,A+,B,A+,44%,51%,29.720687757909214,3.4408390646492433
master,1.0889302325581396,4.142279069767442,5.290465116279069,B,좋음,5.900093023255815,399.2046511627907,2.2326511627906975,180,0.0906046511627907,5.278232558139535,7.349813953488372,4.651953488372093,1.069627906976744,0.8984186046511627,A+,B-,A+,42%,49%,28.517162790697668,3.3992093023255814
grandmaster,1.0856632653061224,4.294897959183674,5.305510204081633,B,좋음,6.0886734693877544,402.0204081632653,2.77234693877551,192,0.09903061224489794,5.028979591836735,7.433979591836734,4.484438775510204,0.9185204081632653,0.7623469387755103,A+,B,A+,44%,51%,29.611581632653056,4.0300510204081625
challenger,1.103084577114428,4.522189054726368,5.361094527363184,B,좋음,5.9834825870646755,406.02985074626866,3.551492537313433,255,0.14029850746268657,5.158109452736318,7.954626865671641,4.443830845771145,0.8273631840796021,0.687412935323383,A+,B-,A+,46%,53%,33.78900497512438,4.809054726368159
